t,timestamp,value,regime_hint,source_y_name,y_units,original_index,source_y_name_ru,recommended_group,source_dataset
37,2014-02-15 16:02:00,40.4,normal,EC2 CPU utilization,%,68,загрузка процессора сервера EC2,main_recommended,NAB
38,2014-02-15 16:57:00,43.092,normal,EC2 CPU utilization,%,70,загрузка процессора сервера EC2,main_recommended,NAB
39,2014-02-15 17:37:00,39.554,normal,EC2 CPU utilization,%,72,загрузка процессора сервера EC2,main_recommended,NAB
40,2014-02-15 18:17:00,40.234,normal,EC2 CPU utilization,%,74,загрузка процессора сервера EC2,main_recommended,NAB
41,2014-02-15 18:57:00,43.51,normal,EC2 CPU utilization,%,76,загрузка процессора сервера EC2,main_recommended,NAB
42,2014-02-15 19:27:00,52.98,normal,EC2 CPU utilization,%,77,загрузка процессора сервера EC2,main_recommended,NAB
43,2014-02-15 20:07:00,54.264,normal,EC2 CPU utilization,%,79,загрузка процессора сервера EC2,main_recommended,NAB
44,2014-02-15 20:47:00,53.522,normal,EC2 CPU utilization,%,81,загрузка процессора сервера EC2,main_recommended,NAB
45,2014-02-15 21:42:00,48.216,normal,EC2 CPU utilization,%,83,загрузка процессора сервера EC2,main_recommended,NAB
46,2014-02-15 22:17:00,41.82,normal,EC2 CPU utilization,%,85,загрузка процессора сервера EC2,main_recommended,NAB
47,2014-02-15 22:47:00,51.572,normal,EC2 CPU utilization,%,86,загрузка процессора сервера EC2,main_recommended,NAB
48,2014-02-15 23:27:00,53.298,normal,EC2 CPU utilization,%,88,загрузка процессора сервера EC2,main_recommended,NAB
49,2014-02-16 00:07:00,52.73,normal,EC2 CPU utilization,%,90,загрузка процессора сервера EC2,main_recommended,NAB
50,2014-02-16 01:07:00,51.408,normal,EC2 CPU utilization,%,92,загрузка процессора сервера EC2,main_recommended,NAB
51,2014-02-16 01:42:00,49.24800000000001,normal,EC2 CPU utilization,%,94,загрузка процессора сервера EC2,main_recommended,NAB
52,2014-02-16 02:02:00,42.066,normal,EC2 CPU utilization,%,95,загрузка процессора сервера EC2,main_recommended,NAB
53,2014-02-16 02:52:00,46.11,normal,EC2 CPU utilization,%,97,загрузка процессора сервера EC2,main_recommended,NAB
54,2014-02-16 03:37:00,43.404,normal,EC2 CPU utilization,%,99,загрузка процессора сервера EC2,main_recommended,NAB
55,2014-02-16 04:17:00,41.292,normal,EC2 CPU utilization,%,101,загрузка процессора сервера EC2,main_recommended,NAB
56,2014-02-16 05:12:00,41.11600000000001,normal,EC2 CPU utilization,%,103,загрузка процессора сервера EC2,main_recommended,NAB
57,2014-02-16 05:42:00,52.652,normal,EC2 CPU utilization,%,104,загрузка процессора сервера EC2,main_recommended,NAB
58,2014-02-16 06:22:00,52.972,normal,EC2 CPU utilization,%,106,загрузка процессора сервера EC2,main_recommended,NAB
59,2014-02-16 07:02:00,52.724,normal,EC2 CPU utilization,%,108,загрузка процессора сервера EC2,main_recommended,NAB
60,2014-02-16 07:57:00,54.828,normal,EC2 CPU utilization,%,110,загрузка процессора сервера EC2,main_recommended,NAB
61,2014-02-16 08:22:00,50.678,normal,EC2 CPU utilization,%,112,загрузка процессора сервера EC2,main_recommended,NAB
62,2014-02-16 08:57:00,41.854,normal,EC2 CPU utilization,%,113,загрузка процессора сервера EC2,main_recommended,NAB
63,2014-02-16 09:37:00,41.714,normal,EC2 CPU utilization,%,115,загрузка процессора сервера EC2,main_recommended,NAB
64,2014-02-16 10:17:00,40.234,normal,EC2 CPU utilization,%,117,загрузка процессора сервера EC2,main_recommended,NAB
65,2014-02-16 11:12:00,39.678,normal,EC2 CPU utilization,%,119,загрузка процессора сервера EC2,main_recommended,NAB
66,2014-02-16 11:52:00,39.738,normal,EC2 CPU utilization,%,121,загрузка процессора сервера EC2,main_recommended,NAB
67,2014-02-16 12:22:00,50.13,normal,EC2 CPU utilization,%,122,загрузка процессора сервера EC2,main_recommended,NAB
68,2014-02-16 12:52:00,48.45,normal,EC2 CPU utilization,%,124,загрузка процессора сервера EC2,main_recommended,NAB
69,2014-02-16 13:52:00,39.772,normal,EC2 CPU utilization,%,126,загрузка процессора сервера EC2,main_recommended,NAB
70,2014-02-16 14:32:00,39.718,normal,EC2 CPU utilization,%,128,загрузка процессора сервера EC2,main_recommended,NAB
71,2014-02-16 15:17:00,51.13399999999999,normal,EC2 CPU utilization,%,130,загрузка процессора сервера EC2,main_recommended,NAB
72,2014-02-16 15:27:00,41.58,normal,EC2 CPU utilization,%,131,загрузка процессора сервера EC2,main_recommended,NAB
73,2014-02-16 16:32:00,40.282,normal,EC2 CPU utilization,%,133,загрузка процессора сервера EC2,main_recommended,NAB
74,2014-02-16 17:02:00,43.192,normal,EC2 CPU utilization,%,135,загрузка процессора сервера EC2,main_recommended,NAB
75,2014-02-16 17:42:00,42.958,normal,EC2 CPU utilization,%,137,загрузка процессора сервера EC2,main_recommended,NAB
76,2014-02-16 18:47:00,40.774,normal,EC2 CPU utilization,%,139,загрузка процессора сервера EC2,main_recommended,NAB
77,2014-02-16 18:52:00,52.0,normal,EC2 CPU utilization,%,140,загрузка процессора сервера EC2,main_recommended,NAB
78,2014-02-16 19:47:00,51.808,normal,EC2 CPU utilization,%,142,загрузка процессора сервера EC2,main_recommended,NAB
79,2014-02-16 20:37:00,40.37,normal,EC2 CPU utilization,%,144,загрузка процессора сервера EC2,main_recommended,NAB
80,2014-02-16 21:17:00,39.954,normal,EC2 CPU utilization,%,146,загрузка процессора сервера EC2,main_recommended,NAB
81,2014-02-16 21:57:00,42.652,normal,EC2 CPU utilization,%,148,загрузка процессора сервера EC2,main_recommended,NAB
82,2014-02-16 22:17:00,51.76,normal,EC2 CPU utilization,%,149,загрузка процессора сервера EC2,main_recommended,NAB
83,2014-02-16 22:57:00,52.91,normal,EC2 CPU utilization,%,151,загрузка процессора сервера EC2,main_recommended,NAB
84,2014-02-16 23:52:00,49.622,normal,EC2 CPU utilization,%,153,загрузка процессора сервера EC2,main_recommended,NAB
85,2014-02-17 00:32:00,51.386,normal,EC2 CPU utilization,%,155,загрузка процессора сервера EC2,main_recommended,NAB
86,2014-02-17 01:12:00,51.996,normal,EC2 CPU utilization,%,157,загрузка процессора сервера EC2,main_recommended,NAB
87,2014-02-17 01:47:00,39.95,normal,EC2 CPU utilization,%,158,загрузка процессора сервера EC2,main_recommended,NAB
88,2014-02-17 02:27:00,40.54,normal,EC2 CPU utilization,%,160,загрузка процессора сервера EC2,main_recommended,NAB
89,2014-02-17 03:07:00,43.486,normal,EC2 CPU utilization,%,162,загрузка процессора сервера EC2,main_recommended,NAB
90,2014-02-17 03:47:00,42.668,normal,EC2 CPU utilization,%,164,загрузка процессора сервера EC2,main_recommended,NAB
91,2014-02-17 04:57:00,53.17,normal,EC2 CPU utilization,%,167,загрузка процессора сервера EC2,main_recommended,NAB
92,2014-02-17 05:52:00,50.07,normal,EC2 CPU utilization,%,169,загрузка процессора сервера EC2,main_recommended,NAB
93,2014-02-17 06:32:00,47.768,normal,EC2 CPU utilization,%,171,загрузка процессора сервера EC2,main_recommended,NAB
94,2014-02-17 07:17:00,39.882,normal,EC2 CPU utilization,%,173,загрузка процессора сервера EC2,main_recommended,NAB
95,2014-02-17 08:12:00,40.094,normal,EC2 CPU utilization,%,175,загрузка процессора сервера EC2,main_recommended,NAB
96,2014-02-17 08:17:00,52.59,normal,EC2 CPU utilization,%,176,загрузка процессора сервера EC2,main_recommended,NAB
97,2014-02-17 09:12:00,48.428,normal,EC2 CPU utilization,%,178,загрузка процессора сервера EC2,main_recommended,NAB
98,2014-02-17 09:52:00,48.756,normal,EC2 CPU utilization,%,180,загрузка процессора сервера EC2,main_recommended,NAB
99,2014-02-17 10:32:00,49.174,normal,EC2 CPU utilization,%,182,загрузка процессора сервера EC2,main_recommended,NAB
100,2014-02-17 11:22:00,42.948,normal,EC2 CPU utilization,%,184,загрузка процессора сервера EC2,main_recommended,NAB
101,2014-02-17 11:52:00,51.104,normal,EC2 CPU utilization,%,185,загрузка процессора сервера EC2,main_recommended,NAB
102,2014-02-17 12:32:00,51.466,normal,EC2 CPU utilization,%,187,загрузка процессора сервера EC2,main_recommended,NAB
103,2014-02-17 13:12:00,52.536,normal,EC2 CPU utilization,%,189,загрузка процессора сервера EC2,main_recommended,NAB
104,2014-02-17 14:07:00,49.882,normal,EC2 CPU utilization,%,191,загрузка процессора сервера EC2,main_recommended,NAB
105,2014-02-17 14:57:00,53.49800000000001,normal,EC2 CPU utilization,%,193,загрузка процессора сервера EC2,main_recommended,NAB
106,2014-02-17 15:07:00,43.816,normal,EC2 CPU utilization,%,194,загрузка процессора сервера EC2,main_recommended,NAB
107,2014-02-17 15:47:00,42.306,normal,EC2 CPU utilization,%,196,загрузка процессора сервера EC2,main_recommended,NAB
108,2014-02-17 16:32:00,50.88,normal,EC2 CPU utilization,%,198,загрузка процессора сервера EC2,main_recommended,NAB
109,2014-02-17 17:32:00,39.86,normal,EC2 CPU utilization,%,200,загрузка процессора сервера EC2,main_recommended,NAB
110,2014-02-17 18:12:00,40.122,normal,EC2 CPU utilization,%,202,загрузка процессора сервера EC2,main_recommended,NAB
111,2014-02-17 18:32:00,50.426,normal,EC2 CPU utilization,%,203,загрузка процессора сервера EC2,main_recommended,NAB
112,2014-02-17 19:12:00,49.272,normal,EC2 CPU utilization,%,205,загрузка процессора сервера EC2,main_recommended,NAB
113,2014-02-17 19:52:00,49.084,normal,EC2 CPU utilization,%,207,загрузка процессора сервера EC2,main_recommended,NAB
114,2014-02-17 20:37:00,40.34,normal,EC2 CPU utilization,%,209,загрузка процессора сервера EC2,main_recommended,NAB
115,2014-02-17 21:22:00,52.676,normal,EC2 CPU utilization,%,211,загрузка процессора сервера EC2,main_recommended,NAB
116,2014-02-17 21:47:00,43.732,normal,EC2 CPU utilization,%,212,загрузка процессора сервера EC2,main_recommended,NAB
117,2014-02-17 22:37:00,40.492,normal,EC2 CPU utilization,%,214,загрузка процессора сервера EC2,main_recommended,NAB
118,2014-02-17 23:17:00,41.29600000000001,normal,EC2 CPU utilization,%,216,загрузка процессора сервера EC2,main_recommended,NAB
119,2014-02-18 00:02:00,54.084,normal,EC2 CPU utilization,%,218,загрузка процессора сервера EC2,main_recommended,NAB
120,2014-02-18 00:57:00,50.952,normal,EC2 CPU utilization,%,220,загрузка процессора сервера EC2,main_recommended,NAB
121,2014-02-18 01:17:00,40.61,normal,EC2 CPU utilization,%,221,загрузка процессора сервера EC2,main_recommended,NAB
122,2014-02-18 01:57:00,44.90600000000001,normal,EC2 CPU utilization,%,223,загрузка процессора сервера EC2,main_recommended,NAB
123,2014-02-18 02:37:00,43.85,normal,EC2 CPU utilization,%,225,загрузка процессора сервера EC2,main_recommended,NAB
124,2014-02-18 03:42:00,40.216,normal,EC2 CPU utilization,%,227,загрузка процессора сервера EC2,main_recommended,NAB
125,2014-02-18 04:22:00,41.43,normal,EC2 CPU utilization,%,229,загрузка процессора сервера EC2,main_recommended,NAB
126,2014-02-18 04:42:00,50.47,normal,EC2 CPU utilization,%,230,загрузка процессора сервера EC2,main_recommended,NAB
127,2014-02-18 05:22:00,50.56,normal,EC2 CPU utilization,%,232,загрузка процессора сервера EC2,main_recommended,NAB
128,2014-02-18 06:02:00,49.53,normal,EC2 CPU utilization,%,234,загрузка процессора сервера EC2,main_recommended,NAB
129,2014-02-18 07:02:00,40.132,normal,EC2 CPU utilization,%,236,загрузка процессора сервера EC2,main_recommended,NAB
130,2014-02-18 07:42:00,41.302,normal,EC2 CPU utilization,%,238,загрузка процессора сервера EC2,main_recommended,NAB
131,2014-02-18 08:02:00,49.882,normal,EC2 CPU utilization,%,239,загрузка процессора сервера EC2,main_recommended,NAB
132,2014-02-18 08:42:00,50.0,normal,EC2 CPU utilization,%,241,загрузка процессора сервера EC2,main_recommended,NAB
133,2014-02-18 09:22:00,52.23,normal,EC2 CPU utilization,%,243,загрузка процессора сервера EC2,main_recommended,NAB
134,2014-02-18 10:22:00,40.978,normal,EC2 CPU utilization,%,245,загрузка процессора сервера EC2,main_recommended,NAB
135,2014-02-18 11:02:00,42.39,normal,EC2 CPU utilization,%,247,загрузка процессора сервера EC2,main_recommended,NAB
136,2014-02-18 11:32:00,53.17,normal,EC2 CPU utilization,%,248,загрузка процессора сервера EC2,main_recommended,NAB
137,2014-02-18 12:02:00,49.174,normal,EC2 CPU utilization,%,250,загрузка процессора сервера EC2,main_recommended,NAB
138,2014-02-18 12:52:00,53.286,normal,EC2 CPU utilization,%,252,загрузка процессора сервера EC2,main_recommended,NAB
139,2014-02-18 13:32:00,48.944,normal,EC2 CPU utilization,%,254,загрузка процессора сервера EC2,main_recommended,NAB
140,2014-02-18 14:12:00,49.82,normal,EC2 CPU utilization,%,256,загрузка процессора сервера EC2,main_recommended,NAB
141,2014-02-18 14:47:00,42.536,normal,EC2 CPU utilization,%,257,загрузка процессора сервера EC2,main_recommended,NAB
142,2014-02-18 15:27:00,40.958,normal,EC2 CPU utilization,%,259,загрузка процессора сервера EC2,main_recommended,NAB
143,2014-02-18 15:47:00,47.738,normal,EC2 CPU utilization,%,260,загрузка процессора сервера EC2,main_recommended,NAB
144,2014-02-18 16:12:00,52.348,anomaly_window_1,EC2 CPU utilization,%,261,загрузка процессора сервера EC2,main_recommended,NAB
145,2014-02-18 16:47:00,40.634,anomaly_window_1,EC2 CPU utilization,%,262,загрузка процессора сервера EC2,main_recommended,NAB
146,2014-02-18 16:52:00,52.112,anomaly_window_1,EC2 CPU utilization,%,263,загрузка процессора сервера EC2,main_recommended,NAB
147,2014-02-18 17:37:00,47.348,anomaly_window_1,EC2 CPU utilization,%,265,загрузка процессора сервера EC2,main_recommended,NAB
148,2014-02-18 17:57:00,54.036,anomaly_window_1,EC2 CPU utilization,%,266,загрузка процессора сервера EC2,main_recommended,NAB
149,2014-02-18 18:52:00,52.846,anomaly_window_1,EC2 CPU utilization,%,268,загрузка процессора сервера EC2,main_recommended,NAB
150,2014-02-18 19:32:00,49.29600000000001,anomaly_window_1,EC2 CPU utilization,%,270,загрузка процессора сервера EC2,main_recommended,NAB
151,2014-02-18 20:32:00,40.78,anomaly_window_1,EC2 CPU utilization,%,272,загрузка процессора сервера EC2,main_recommended,NAB
152,2014-02-18 21:17:00,53.146,anomaly_window_1,EC2 CPU utilization,%,274,загрузка процессора сервера EC2,main_recommended,NAB
153,2014-02-18 21:37:00,40.052,anomaly_window_1,EC2 CPU utilization,%,275,загрузка процессора сервера EC2,main_recommended,NAB
154,2014-02-18 22:17:00,40.54,anomaly_window_1,EC2 CPU utilization,%,277,загрузка процессора сервера EC2,main_recommended,NAB
155,2014-02-18 22:57:00,44.482,anomaly_window_1,EC2 CPU utilization,%,279,загрузка процессора сервера EC2,main_recommended,NAB
156,2014-02-19 00:27:00,42.08600000000001,anomaly_window_1,EC2 CPU utilization,%,283,загрузка процессора сервера EC2,main_recommended,NAB
157,2014-02-19 00:57:00,54.058,anomaly_window_1,EC2 CPU utilization,%,284,загрузка процессора сервера EC2,main_recommended,NAB
158,2014-02-19 01:37:00,49.22,anomaly_window_1,EC2 CPU utilization,%,286,загрузка процессора сервера EC2,main_recommended,NAB
159,2014-02-19 02:27:00,50.51,anomaly_window_1,EC2 CPU utilization,%,288,загрузка процессора сервера EC2,main_recommended,NAB
160,2014-02-19 02:57:00,48.29600000000001,anomaly_window_1,EC2 CPU utilization,%,290,загрузка процессора сервера EC2,main_recommended,NAB
161,2014-02-19 03:47:00,51.706,anomaly_window_1,EC2 CPU utilization,%,292,загрузка процессора сервера EC2,main_recommended,NAB
162,2014-02-19 04:07:00,42.09,anomaly_window_1,EC2 CPU utilization,%,293,загрузка процессора сервера EC2,main_recommended,NAB
163,2014-02-19 05:07:00,52.184,anomaly_window_1,EC2 CPU utilization,%,295,загрузка процессора сервера EC2,main_recommended,NAB
164,2014-02-19 05:47:00,49.648,anomaly_window_1,EC2 CPU utilization,%,297,загрузка процессора сервера EC2,main_recommended,NAB
165,2014-02-19 06:37:00,39.954,anomaly_window_1,EC2 CPU utilization,%,299,загрузка процессора сервера EC2,main_recommended,NAB
166,2014-02-19 07:17:00,39.672,anomaly_window_1,EC2 CPU utilization,%,301,загрузка процессора сервера EC2,main_recommended,NAB
167,2014-02-19 07:37:00,46.738,anomaly_window_1,EC2 CPU utilization,%,302,загрузка процессора сервера EC2,main_recommended,NAB
168,2014-02-19 08:12:00,41.408,anomaly_window_1,EC2 CPU utilization,%,304,загрузка процессора сервера EC2,main_recommended,NAB
169,2014-02-19 08:42:00,51.012,anomaly_window_1,EC2 CPU utilization,%,305,загрузка процессора сервера EC2,main_recommended,NAB
170,2014-02-19 09:02:00,42.488,normal,EC2 CPU utilization,%,306,загрузка процессора сервера EC2,main_recommended,NAB
171,2014-02-19 09:37:00,51.142,normal,EC2 CPU utilization,%,307,загрузка процессора сервера EC2,main_recommended,NAB
172,2014-02-19 09:47:00,39.882,normal,EC2 CPU utilization,%,308,загрузка процессора сервера EC2,main_recommended,NAB
173,2014-02-19 10:27:00,39.906,normal,EC2 CPU utilization,%,310,загрузка процессора сервера EC2,main_recommended,NAB
174,2014-02-19 10:47:00,45.916,normal,EC2 CPU utilization,%,311,загрузка процессора сервера EC2,main_recommended,NAB
175,2014-02-19 11:52:00,49.164,normal,EC2 CPU utilization,%,313,загрузка процессора сервера EC2,main_recommended,NAB
176,2014-02-19 12:22:00,46.052,normal,EC2 CPU utilization,%,315,загрузка процессора сервера EC2,main_recommended,NAB
177,2014-02-19 13:02:00,48.63399999999999,normal,EC2 CPU utilization,%,317,загрузка процессора сервера EC2,main_recommended,NAB
178,2014-02-19 13:57:00,48.31,normal,EC2 CPU utilization,%,319,загрузка процессора сервера EC2,main_recommended,NAB
179,2014-02-19 14:17:00,39.882,normal,EC2 CPU utilization,%,320,загрузка процессора сервера EC2,main_recommended,NAB
180,2014-02-19 15:02:00,43.76600000000001,normal,EC2 CPU utilization,%,322,загрузка процессора сервера EC2,main_recommended,NAB
181,2014-02-19 15:42:00,39.718,normal,EC2 CPU utilization,%,324,загрузка процессора сервера EC2,main_recommended,NAB
182,2014-02-19 16:27:00,43.896,normal,EC2 CPU utilization,%,326,загрузка процессора сервера EC2,main_recommended,NAB
183,2014-02-19 17:07:00,41.996,normal,EC2 CPU utilization,%,328,загрузка процессора сервера EC2,main_recommended,NAB
184,2014-02-19 17:42:00,46.22,normal,EC2 CPU utilization,%,329,загрузка процессора сервера EC2,main_recommended,NAB
185,2014-02-19 18:22:00,46.482,normal,EC2 CPU utilization,%,331,загрузка процессора сервера EC2,main_recommended,NAB
186,2014-02-19 19:02:00,46.666,normal,EC2 CPU utilization,%,333,загрузка процессора сервера EC2,main_recommended,NAB
187,2014-02-19 19:57:00,50.63,normal,EC2 CPU utilization,%,335,загрузка процессора сервера EC2,main_recommended,NAB
188,2014-02-19 20:37:00,49.028,normal,EC2 CPU utilization,%,337,загрузка процессора сервера EC2,main_recommended,NAB
189,2014-02-19 21:12:00,38.802,normal,EC2 CPU utilization,%,338,загрузка процессора сервера EC2,main_recommended,NAB
190,2014-02-19 21:57:00,50.556,normal,EC2 CPU utilization,%,340,загрузка процессора сервера EC2,main_recommended,NAB
191,2014-02-19 22:37:00,48.782,normal,EC2 CPU utilization,%,342,загрузка процессора сервера EC2,main_recommended,NAB
192,2014-02-19 23:17:00,48.896,normal,EC2 CPU utilization,%,344,загрузка процессора сервера EC2,main_recommended,NAB
193,2014-02-19 23:57:00,50.95399999999999,normal,EC2 CPU utilization,%,346,загрузка процессора сервера EC2,main_recommended,NAB
194,2014-02-20 00:32:00,39.264,normal,EC2 CPU utilization,%,347,загрузка процессора сервера EC2,main_recommended,NAB
195,2014-02-20 01:12:00,38.524,normal,EC2 CPU utilization,%,349,загрузка процессора сервера EC2,main_recommended,NAB
196,2014-02-20 01:57:00,51.292,normal,EC2 CPU utilization,%,351,загрузка процессора сервера EC2,main_recommended,NAB
197,2014-02-20 02:37:00,49.202,normal,EC2 CPU utilization,%,353,загрузка процессора сервера EC2,main_recommended,NAB
198,2014-02-20 03:17:00,48.57,normal,EC2 CPU utilization,%,355,загрузка процессора сервера EC2,main_recommended,NAB
199,2014-02-20 03:52:00,38.61,normal,EC2 CPU utilization,%,356,загрузка процессора сервера EC2,main_recommended,NAB
200,2014-02-20 04:32:00,39.788,normal,EC2 CPU utilization,%,358,загрузка процессора сервера EC2,main_recommended,NAB
201,2014-02-20 05:12:00,40.796,normal,EC2 CPU utilization,%,360,загрузка процессора сервера EC2,main_recommended,NAB
202,2014-02-20 05:52:00,39.576,normal,EC2 CPU utilization,%,362,загрузка процессора сервера EC2,main_recommended,NAB
203,2014-02-20 06:47:00,42.442,normal,EC2 CPU utilization,%,364,загрузка процессора сервера EC2,main_recommended,NAB
204,2014-02-20 07:02:00,49.084,normal,EC2 CPU utilization,%,365,загрузка процессора сервера EC2,main_recommended,NAB
205,2014-02-20 07:57:00,48.428,normal,EC2 CPU utilization,%,367,загрузка процессора сервера EC2,main_recommended,NAB
206,2014-02-20 08:37:00,49.434,normal,EC2 CPU utilization,%,369,загрузка процессора сервера EC2,main_recommended,NAB
207,2014-02-20 09:17:00,46.29600000000001,normal,EC2 CPU utilization,%,371,загрузка процессора сервера EC2,main_recommended,NAB
208,2014-02-20 09:57:00,50.828,normal,EC2 CPU utilization,%,373,загрузка процессора сервера EC2,main_recommended,NAB
209,2014-02-20 10:32:00,38.874,normal,EC2 CPU utilization,%,374,загрузка процессора сервера EC2,main_recommended,NAB
210,2014-02-20 11:12:00,38.356,normal,EC2 CPU utilization,%,376,загрузка процессора сервера EC2,main_recommended,NAB
211,2014-02-20 11:57:00,50.932,normal,EC2 CPU utilization,%,378,загрузка процессора сервера EC2,main_recommended,NAB
212,2014-02-20 12:37:00,48.31,normal,EC2 CPU utilization,%,380,загрузка процессора сервера EC2,main_recommended,NAB
213,2014-02-20 13:32:00,45.37600000000001,normal,EC2 CPU utilization,%,382,загрузка процессора сервера EC2,main_recommended,NAB
214,2014-02-20 13:52:00,39.878,normal,EC2 CPU utilization,%,383,загрузка процессора сервера EC2,main_recommended,NAB
215,2014-02-20 14:37:00,49.514,normal,EC2 CPU utilization,%,385,загрузка процессора сервера EC2,main_recommended,NAB
216,2014-02-20 15:17:00,45.63399999999999,normal,EC2 CPU utilization,%,387,загрузка процессора сервера EC2,main_recommended,NAB
217,2014-02-20 15:57:00,47.84,normal,EC2 CPU utilization,%,389,загрузка процессора сервера EC2,main_recommended,NAB
218,2014-02-20 17:02:00,48.45,normal,EC2 CPU utilization,%,391,загрузка процессора сервера EC2,main_recommended,NAB
219,2014-02-20 17:12:00,40.54,normal,EC2 CPU utilization,%,392,загрузка процессора сервера EC2,main_recommended,NAB
220,2014-02-20 18:37:00,49.152,normal,EC2 CPU utilization,%,396,загрузка процессора сервера EC2,main_recommended,NAB
221,2014-02-20 19:32:00,49.428,normal,EC2 CPU utilization,%,398,загрузка процессора сервера EC2,main_recommended,NAB
222,2014-02-20 20:12:00,47.018,normal,EC2 CPU utilization,%,400,загрузка процессора сервера EC2,main_recommended,NAB
223,2014-02-20 20:47:00,38.896,normal,EC2 CPU utilization,%,401,загрузка процессора сервера EC2,main_recommended,NAB
