t,timestamp,value,regime_hint,source_y_name,y_units,Occupancy,original_index,source_y_name_ru,recommended_group,source_dataset
29,2015-02-02 17:08:00,425.4,occupied_room,room light level,Lux,1,50,уровень освещённости в помещении,main_recommended,UCI Occupancy
30,2015-02-02 17:10:00,433.0,occupied_room,room light level,Lux,1,51,уровень освещённости в помещении,main_recommended,UCI Occupancy
31,2015-02-02 17:16:00,433.0,occupied_room,room light level,Lux,1,53,уровень освещённости в помещении,main_recommended,UCI Occupancy
32,2015-02-02 17:22:00,433.0,occupied_room,room light level,Lux,1,54,уровень освещённости в помещении,main_recommended,UCI Occupancy
33,2015-02-02 17:25:59,433.0,occupied_room,room light level,Lux,1,56,уровень освещённости в помещении,main_recommended,UCI Occupancy
34,2015-02-02 17:31:59,424.6,occupied_room,room light level,Lux,1,57,уровень освещённости в помещении,main_recommended,UCI Occupancy
35,2015-02-02 17:32:59,433.0,occupied_room,room light level,Lux,1,58,уровень освещённости в помещении,main_recommended,UCI Occupancy
36,2015-02-02 17:36:00,423.666666666667,empty_room,room light level,Lux,0,59,уровень освещённости в помещении,main_recommended,UCI Occupancy
37,2015-02-02 17:39:59,426.0,empty_room,room light level,Lux,0,60,уровень освещённости в помещении,main_recommended,UCI Occupancy
38,2015-02-02 17:43:00,419.0,empty_room,room light level,Lux,0,61,уровень освещённости в помещении,main_recommended,UCI Occupancy
39,2015-02-02 17:45:59,419.0,empty_room,room light level,Lux,0,62,уровень освещённости в помещении,main_recommended,UCI Occupancy
40,2015-02-02 17:50:00,419.0,empty_room,room light level,Lux,0,63,уровень освещённости в помещении,main_recommended,UCI Occupancy
41,2015-02-02 17:53:00,419.0,empty_room,room light level,Lux,0,64,уровень освещённости в помещении,main_recommended,UCI Occupancy
42,2015-02-02 17:58:59,419.0,occupied_room,room light level,Lux,1,65,уровень освещённости в помещении,main_recommended,UCI Occupancy
43,2015-02-02 18:02:00,418.6,occupied_room,room light level,Lux,1,66,уровень освещённости в помещении,main_recommended,UCI Occupancy
44,2015-02-02 18:04:59,0.0,empty_room,room light level,Lux,0,67,уровень освещённости в помещении,main_recommended,UCI Occupancy
45,2015-02-02 18:06:00,0.0,empty_room,room light level,Lux,0,68,уровень освещённости в помещении,main_recommended,UCI Occupancy
46,2015-02-02 18:10:00,0.0,empty_room,room light level,Lux,0,69,уровень освещённости в помещении,main_recommended,UCI Occupancy
47,2015-02-02 18:13:00,0.0,empty_room,room light level,Lux,0,70,уровень освещённости в помещении,main_recommended,UCI Occupancy
48,2015-02-02 18:20:00,0.0,empty_room,room light level,Lux,0,72,уровень освещённости в помещении,main_recommended,UCI Occupancy
49,2015-02-02 18:29:59,0.0,empty_room,room light level,Lux,0,75,уровень освещённости в помещении,main_recommended,UCI Occupancy
50,2015-02-02 18:36:00,0.0,empty_room,room light level,Lux,0,77,уровень освещённости в помещении,main_recommended,UCI Occupancy
51,2015-02-02 18:40:00,0.0,empty_room,room light level,Lux,0,78,уровень освещённости в помещении,main_recommended,UCI Occupancy
52,2015-02-02 18:46:00,0.0,empty_room,room light level,Lux,0,80,уровень освещённости в помещении,main_recommended,UCI Occupancy
53,2015-02-02 18:53:00,0.0,empty_room,room light level,Lux,0,82,уровень освещённости в помещении,main_recommended,UCI Occupancy
54,2015-02-02 18:55:59,0.0,empty_room,room light level,Lux,0,83,уровень освещённости в помещении,main_recommended,UCI Occupancy
55,2015-02-02 19:02:59,0.0,empty_room,room light level,Lux,0,85,уровень освещённости в помещении,main_recommended,UCI Occupancy
56,2015-02-02 19:06:00,0.0,empty_room,room light level,Lux,0,86,уровень освещённости в помещении,main_recommended,UCI Occupancy
57,2015-02-02 19:13:00,0.0,empty_room,room light level,Lux,0,88,уровень освещённости в помещении,main_recommended,UCI Occupancy
58,2015-02-02 19:20:00,0.0,empty_room,room light level,Lux,0,90,уровень освещённости в помещении,main_recommended,UCI Occupancy
59,2015-02-02 19:23:00,0.0,empty_room,room light level,Lux,0,91,уровень освещённости в помещении,main_recommended,UCI Occupancy
60,2015-02-02 19:30:00,0.0,empty_room,room light level,Lux,0,93,уровень освещённости в помещении,main_recommended,UCI Occupancy
61,2015-02-02 19:33:00,0.0,empty_room,room light level,Lux,0,94,уровень освещённости в помещении,main_recommended,UCI Occupancy
62,2015-02-02 19:40:00,0.0,empty_room,room light level,Lux,0,96,уровень освещённости в помещении,main_recommended,UCI Occupancy
63,2015-02-02 19:50:00,0.0,empty_room,room light level,Lux,0,99,уровень освещённости в помещении,main_recommended,UCI Occupancy
64,2015-02-02 19:57:00,0.0,empty_room,room light level,Lux,0,101,уровень освещённости в помещении,main_recommended,UCI Occupancy
65,2015-02-02 19:59:59,0.0,empty_room,room light level,Lux,0,102,уровень освещённости в помещении,main_recommended,UCI Occupancy
66,2015-02-02 20:06:59,0.0,empty_room,room light level,Lux,0,104,уровень освещённости в помещении,main_recommended,UCI Occupancy
67,2015-02-02 20:12:59,0.0,empty_room,room light level,Lux,0,106,уровень освещённости в помещении,main_recommended,UCI Occupancy
68,2015-02-02 20:17:00,0.0,empty_room,room light level,Lux,0,107,уровень освещённости в помещении,main_recommended,UCI Occupancy
69,2015-02-02 20:23:00,0.0,empty_room,room light level,Lux,0,109,уровень освещённости в помещении,main_recommended,UCI Occupancy
70,2015-02-02 20:26:59,0.0,empty_room,room light level,Lux,0,110,уровень освещённости в помещении,main_recommended,UCI Occupancy
71,2015-02-02 20:32:59,0.0,empty_room,room light level,Lux,0,112,уровень освещённости в помещении,main_recommended,UCI Occupancy
72,2015-02-02 20:39:59,0.0,empty_room,room light level,Lux,0,114,уровень освещённости в помещении,main_recommended,UCI Occupancy
73,2015-02-02 20:43:00,0.0,empty_room,room light level,Lux,0,115,уровень освещённости в помещении,main_recommended,UCI Occupancy
74,2015-02-02 20:50:00,0.0,empty_room,room light level,Lux,0,117,уровень освещённости в помещении,main_recommended,UCI Occupancy
75,2015-02-02 20:53:00,0.0,empty_room,room light level,Lux,0,118,уровень освещённости в помещении,main_recommended,UCI Occupancy
76,2015-02-02 21:00:00,0.0,empty_room,room light level,Lux,0,120,уровень освещённости в помещении,main_recommended,UCI Occupancy
77,2015-02-02 21:10:00,0.0,empty_room,room light level,Lux,0,123,уровень освещённости в помещении,main_recommended,UCI Occupancy
78,2015-02-02 21:16:59,0.0,empty_room,room light level,Lux,0,125,уровень освещённости в помещении,main_recommended,UCI Occupancy
79,2015-02-02 21:20:00,0.0,empty_room,room light level,Lux,0,126,уровень освещённости в помещении,main_recommended,UCI Occupancy
80,2015-02-02 21:27:00,0.0,empty_room,room light level,Lux,0,128,уровень освещённости в помещении,main_recommended,UCI Occupancy
81,2015-02-02 21:33:00,0.0,empty_room,room light level,Lux,0,130,уровень освещённости в помещении,main_recommended,UCI Occupancy
82,2015-02-02 21:36:59,0.0,empty_room,room light level,Lux,0,131,уровень освещённости в помещении,main_recommended,UCI Occupancy
83,2015-02-02 21:42:59,0.0,empty_room,room light level,Lux,0,133,уровень освещённости в помещении,main_recommended,UCI Occupancy
84,2015-02-02 21:47:00,0.0,empty_room,room light level,Lux,0,134,уровень освещённости в помещении,main_recommended,UCI Occupancy
85,2015-02-02 21:53:00,0.0,empty_room,room light level,Lux,0,136,уровень освещённости в помещении,main_recommended,UCI Occupancy
86,2015-02-02 22:00:00,0.0,empty_room,room light level,Lux,0,138,уровень освещённости в помещении,main_recommended,UCI Occupancy
87,2015-02-02 22:02:59,0.0,empty_room,room light level,Lux,0,139,уровень освещённости в помещении,main_recommended,UCI Occupancy
88,2015-02-02 22:09:59,0.0,empty_room,room light level,Lux,0,141,уровень освещённости в помещении,main_recommended,UCI Occupancy
89,2015-02-02 22:13:00,0.0,empty_room,room light level,Lux,0,142,уровень освещённости в помещении,main_recommended,UCI Occupancy
90,2015-02-02 22:20:00,0.0,empty_room,room light level,Lux,0,144,уровень освещённости в помещении,main_recommended,UCI Occupancy
91,2015-02-02 22:30:00,0.0,empty_room,room light level,Lux,0,147,уровень освещённости в помещении,main_recommended,UCI Occupancy
92,2015-02-02 22:37:00,0.0,empty_room,room light level,Lux,0,149,уровень освещённости в помещении,main_recommended,UCI Occupancy
93,2015-02-02 22:40:00,0.0,empty_room,room light level,Lux,0,150,уровень освещённости в помещении,main_recommended,UCI Occupancy
94,2015-02-02 22:46:59,0.0,empty_room,room light level,Lux,0,152,уровень освещённости в помещении,main_recommended,UCI Occupancy
95,2015-02-02 22:53:00,0.0,empty_room,room light level,Lux,0,154,уровень освещённости в помещении,main_recommended,UCI Occupancy
96,2015-02-02 22:57:00,0.0,empty_room,room light level,Lux,0,155,уровень освещённости в помещении,main_recommended,UCI Occupancy
97,2015-02-02 23:03:00,0.0,empty_room,room light level,Lux,0,157,уровень освещённости в помещении,main_recommended,UCI Occupancy
98,2015-02-02 23:06:59,0.0,empty_room,room light level,Lux,0,158,уровень освещённости в помещении,main_recommended,UCI Occupancy
99,2015-02-02 23:12:59,0.0,empty_room,room light level,Lux,0,160,уровень освещённости в помещении,main_recommended,UCI Occupancy
100,2015-02-02 23:19:59,0.0,empty_room,room light level,Lux,0,162,уровень освещённости в помещении,main_recommended,UCI Occupancy
101,2015-02-02 23:23:00,0.0,empty_room,room light level,Lux,0,163,уровень освещённости в помещении,main_recommended,UCI Occupancy
102,2015-02-02 23:30:00,0.0,empty_room,room light level,Lux,0,165,уровень освещённости в помещении,main_recommended,UCI Occupancy
103,2015-02-02 23:32:59,0.0,empty_room,room light level,Lux,0,166,уровень освещённости в помещении,main_recommended,UCI Occupancy
104,2015-02-02 23:39:59,0.0,empty_room,room light level,Lux,0,168,уровень освещённости в помещении,main_recommended,UCI Occupancy
105,2015-02-02 23:50:00,0.0,empty_room,room light level,Lux,0,171,уровень освещённости в помещении,main_recommended,UCI Occupancy
106,2015-02-02 23:57:00,0.0,empty_room,room light level,Lux,0,173,уровень освещённости в помещении,main_recommended,UCI Occupancy
107,2015-02-03 00:00:00,0.0,empty_room,room light level,Lux,0,174,уровень освещённости в помещении,main_recommended,UCI Occupancy
108,2015-02-03 00:07:00,0.0,empty_room,room light level,Lux,0,176,уровень освещённости в помещении,main_recommended,UCI Occupancy
109,2015-02-03 00:14:00,0.0,empty_room,room light level,Lux,0,178,уровень освещённости в помещении,main_recommended,UCI Occupancy
110,2015-02-03 00:16:59,0.0,empty_room,room light level,Lux,0,179,уровень освещённости в помещении,main_recommended,UCI Occupancy
111,2015-02-03 00:23:59,0.0,empty_room,room light level,Lux,0,181,уровень освещённости в помещении,main_recommended,UCI Occupancy
112,2015-02-03 00:27:00,0.0,empty_room,room light level,Lux,0,182,уровень освещённости в помещении,main_recommended,UCI Occupancy
113,2015-02-03 00:34:00,0.0,empty_room,room light level,Lux,0,184,уровень освещённости в помещении,main_recommended,UCI Occupancy
114,2015-02-03 00:40:00,0.0,empty_room,room light level,Lux,0,186,уровень освещённости в помещении,main_recommended,UCI Occupancy
115,2015-02-03 00:43:59,0.0,empty_room,room light level,Lux,0,187,уровень освещённости в помещении,main_recommended,UCI Occupancy
116,2015-02-03 00:49:59,0.0,empty_room,room light level,Lux,0,189,уровень освещённости в помещении,main_recommended,UCI Occupancy
117,2015-02-03 00:53:59,0.0,empty_room,room light level,Lux,0,190,уровень освещённости в помещении,main_recommended,UCI Occupancy
118,2015-02-03 01:00:00,0.0,empty_room,room light level,Lux,0,192,уровень освещённости в помещении,main_recommended,UCI Occupancy
119,2015-02-03 01:09:59,0.0,empty_room,room light level,Lux,0,195,уровень освещённости в помещении,main_recommended,UCI Occupancy
120,2015-02-03 01:17:00,0.0,empty_room,room light level,Lux,0,197,уровень освещённости в помещении,main_recommended,UCI Occupancy
121,2015-02-03 01:20:00,0.0,empty_room,room light level,Lux,0,198,уровень освещённости в помещении,main_recommended,UCI Occupancy
122,2015-02-03 01:27:00,0.0,empty_room,room light level,Lux,0,200,уровень освещённости в помещении,main_recommended,UCI Occupancy
123,2015-02-03 01:30:00,0.0,empty_room,room light level,Lux,0,201,уровень освещённости в помещении,main_recommended,UCI Occupancy
124,2015-02-03 01:37:00,0.0,empty_room,room light level,Lux,0,203,уровень освещённости в помещении,main_recommended,UCI Occupancy
125,2015-02-03 01:44:00,0.0,empty_room,room light level,Lux,0,205,уровень освещённости в помещении,main_recommended,UCI Occupancy
126,2015-02-03 01:46:59,0.0,empty_room,room light level,Lux,0,206,уровень освещённости в помещении,main_recommended,UCI Occupancy
127,2015-02-03 01:53:59,0.0,empty_room,room light level,Lux,0,208,уровень освещённости в помещении,main_recommended,UCI Occupancy
128,2015-02-03 01:57:00,0.0,empty_room,room light level,Lux,0,209,уровень освещённости в помещении,main_recommended,UCI Occupancy
129,2015-02-03 02:04:00,0.0,empty_room,room light level,Lux,0,211,уровень освещённости в помещении,main_recommended,UCI Occupancy
130,2015-02-03 02:10:00,0.0,empty_room,room light level,Lux,0,213,уровень освещённости в помещении,main_recommended,UCI Occupancy
131,2015-02-03 02:13:59,0.0,empty_room,room light level,Lux,0,214,уровень освещённости в помещении,main_recommended,UCI Occupancy
132,2015-02-03 02:19:59,0.0,empty_room,room light level,Lux,0,216,уровень освещённости в помещении,main_recommended,UCI Occupancy
133,2015-02-03 02:30:00,0.0,empty_room,room light level,Lux,0,219,уровень освещённости в помещении,main_recommended,UCI Occupancy
134,2015-02-03 02:37:00,0.0,empty_room,room light level,Lux,0,221,уровень освещённости в помещении,main_recommended,UCI Occupancy
135,2015-02-03 02:39:59,0.0,empty_room,room light level,Lux,0,222,уровень освещённости в помещении,main_recommended,UCI Occupancy
136,2015-02-03 02:47:00,0.0,empty_room,room light level,Lux,0,224,уровень освещённости в помещении,main_recommended,UCI Occupancy
137,2015-02-03 02:50:00,0.0,empty_room,room light level,Lux,0,225,уровень освещённости в помещении,main_recommended,UCI Occupancy
138,2015-02-03 02:57:00,0.0,empty_room,room light level,Lux,0,227,уровень освещённости в помещении,main_recommended,UCI Occupancy
139,2015-02-03 03:04:00,0.0,empty_room,room light level,Lux,0,229,уровень освещённости в помещении,main_recommended,UCI Occupancy
140,2015-02-03 03:07:00,0.0,empty_room,room light level,Lux,0,230,уровень освещённости в помещении,main_recommended,UCI Occupancy
141,2015-02-03 03:14:00,0.0,empty_room,room light level,Lux,0,232,уровень освещённости в помещении,main_recommended,UCI Occupancy
142,2015-02-03 03:16:59,0.0,empty_room,room light level,Lux,0,233,уровень освещённости в помещении,main_recommended,UCI Occupancy
143,2015-02-03 03:23:59,0.0,empty_room,room light level,Lux,0,235,уровень освещённости в помещении,main_recommended,UCI Occupancy
144,2015-02-03 03:29:59,0.0,empty_room,room light level,Lux,0,237,уровень освещённости в помещении,main_recommended,UCI Occupancy
145,2015-02-03 03:34:00,0.0,empty_room,room light level,Lux,0,238,уровень освещённости в помещении,main_recommended,UCI Occupancy
146,2015-02-03 03:40:00,0.0,empty_room,room light level,Lux,0,240,уровень освещённости в помещении,main_recommended,UCI Occupancy
147,2015-02-03 03:49:59,0.0,empty_room,room light level,Lux,0,243,уровень освещённости в помещении,main_recommended,UCI Occupancy
148,2015-02-03 03:56:59,0.0,empty_room,room light level,Lux,0,245,уровень освещённости в помещении,main_recommended,UCI Occupancy
149,2015-02-03 04:00:00,0.0,empty_room,room light level,Lux,0,246,уровень освещённости в помещении,main_recommended,UCI Occupancy
150,2015-02-03 04:07:00,0.0,empty_room,room light level,Lux,0,248,уровень освещённости в помещении,main_recommended,UCI Occupancy
151,2015-02-03 04:09:59,0.0,empty_room,room light level,Lux,0,249,уровень освещённости в помещении,main_recommended,UCI Occupancy
152,2015-02-03 04:17:00,0.0,empty_room,room light level,Lux,0,251,уровень освещённости в помещении,main_recommended,UCI Occupancy
153,2015-02-03 04:24:00,0.0,empty_room,room light level,Lux,0,253,уровень освещённости в помещении,main_recommended,UCI Occupancy
154,2015-02-03 04:27:00,0.0,empty_room,room light level,Lux,0,254,уровень освещённости в помещении,main_recommended,UCI Occupancy
155,2015-02-03 04:34:00,0.0,empty_room,room light level,Lux,0,256,уровень освещённости в помещении,main_recommended,UCI Occupancy
156,2015-02-03 04:37:00,0.0,empty_room,room light level,Lux,0,257,уровень освещённости в помещении,main_recommended,UCI Occupancy
157,2015-02-03 04:44:00,0.0,empty_room,room light level,Lux,0,259,уровень освещённости в помещении,main_recommended,UCI Occupancy
158,2015-02-03 04:50:00,0.0,empty_room,room light level,Lux,0,261,уровень освещённости в помещении,main_recommended,UCI Occupancy
159,2015-02-03 04:53:59,0.0,empty_room,room light level,Lux,0,262,уровень освещённости в помещении,main_recommended,UCI Occupancy
160,2015-02-03 04:59:59,0.0,empty_room,room light level,Lux,0,264,уровень освещённости в помещении,main_recommended,UCI Occupancy
161,2015-02-03 05:10:59,0.0,empty_room,room light level,Lux,0,267,уровень освещённости в помещении,main_recommended,UCI Occupancy
162,2015-02-03 05:17:00,0.0,empty_room,room light level,Lux,0,269,уровень освещённости в помещении,main_recommended,UCI Occupancy
163,2015-02-03 05:21:00,0.0,empty_room,room light level,Lux,0,270,уровень освещённости в помещении,main_recommended,UCI Occupancy
164,2015-02-03 05:26:59,0.0,empty_room,room light level,Lux,0,272,уровень освещённости в помещении,main_recommended,UCI Occupancy
165,2015-02-03 05:31:00,0.0,empty_room,room light level,Lux,0,273,уровень освещённости в помещении,main_recommended,UCI Occupancy
166,2015-02-03 05:37:00,0.0,empty_room,room light level,Lux,0,275,уровень освещённости в помещении,main_recommended,UCI Occupancy
167,2015-02-03 05:44:00,0.0,empty_room,room light level,Lux,0,277,уровень освещённости в помещении,main_recommended,UCI Occupancy
168,2015-02-03 05:47:00,0.0,empty_room,room light level,Lux,0,278,уровень освещённости в помещении,main_recommended,UCI Occupancy
169,2015-02-03 05:54:00,0.0,empty_room,room light level,Lux,0,280,уровень освещённости в помещении,main_recommended,UCI Occupancy
170,2015-02-03 05:57:00,0.0,empty_room,room light level,Lux,0,281,уровень освещённости в помещении,main_recommended,UCI Occupancy
171,2015-02-03 06:04:00,0.0,empty_room,room light level,Lux,0,283,уровень освещённости в помещении,main_recommended,UCI Occupancy
172,2015-02-03 06:10:59,0.0,empty_room,room light level,Lux,0,285,уровень освещённости в помещении,main_recommended,UCI Occupancy
173,2015-02-03 06:14:00,0.0,empty_room,room light level,Lux,0,286,уровень освещённости в помещении,main_recommended,UCI Occupancy
174,2015-02-03 06:21:00,0.0,empty_room,room light level,Lux,0,288,уровень освещённости в помещении,main_recommended,UCI Occupancy
175,2015-02-03 06:30:59,0.0,empty_room,room light level,Lux,0,291,уровень освещённости в помещении,main_recommended,UCI Occupancy
176,2015-02-03 06:36:59,0.0,empty_room,room light level,Lux,0,293,уровень освещённости в помещении,main_recommended,UCI Occupancy
177,2015-02-03 06:40:59,0.0,empty_room,room light level,Lux,0,294,уровень освещённости в помещении,main_recommended,UCI Occupancy
178,2015-02-03 06:47:00,0.0,empty_room,room light level,Lux,0,296,уровень освещённости в помещении,main_recommended,UCI Occupancy
179,2015-02-03 06:51:00,0.0,empty_room,room light level,Lux,0,297,уровень освещённости в помещении,main_recommended,UCI Occupancy
180,2015-02-03 06:56:59,0.0,empty_room,room light level,Lux,0,299,уровень освещённости в помещении,main_recommended,UCI Occupancy
181,2015-02-03 07:04:00,0.0,empty_room,room light level,Lux,0,301,уровень освещённости в помещении,main_recommended,UCI Occupancy
182,2015-02-03 07:07:00,0.0,empty_room,room light level,Lux,0,302,уровень освещённости в помещении,main_recommended,UCI Occupancy
183,2015-02-03 07:14:00,0.0,empty_room,room light level,Lux,0,304,уровень освещённости в помещении,main_recommended,UCI Occupancy
184,2015-02-03 07:17:00,0.0,empty_room,room light level,Lux,0,305,уровень освещённости в помещении,main_recommended,UCI Occupancy
185,2015-02-03 07:24:00,0.0,empty_room,room light level,Lux,0,307,уровень освещённости в помещении,main_recommended,UCI Occupancy
186,2015-02-03 07:33:00,0.0,empty_room,room light level,Lux,0,309,уровень освещённости в помещении,main_recommended,UCI Occupancy
187,2015-02-03 07:34:59,0.0,empty_room,room light level,Lux,0,310,уровень освещённости в помещении,main_recommended,UCI Occupancy
188,2015-02-03 07:37:00,413.666666666667,occupied_room,room light level,Lux,1,311,уровень освещённости в помещении,main_recommended,UCI Occupancy
189,2015-02-03 07:40:59,419.0,empty_room,room light level,Lux,0,312,уровень освещённости в помещении,main_recommended,UCI Occupancy
190,2015-02-03 07:46:00,413.5,occupied_room,room light level,Lux,1,313,уровень освещённости в помещении,main_recommended,UCI Occupancy
191,2015-02-03 07:47:59,397.4,occupied_room,room light level,Lux,1,314,уровень освещённости в помещении,main_recommended,UCI Occupancy
192,2015-02-03 07:52:00,399.5,occupied_room,room light level,Lux,1,315,уровень освещённости в помещении,main_recommended,UCI Occupancy
193,2015-02-03 07:59:59,412.2,occupied_room,room light level,Lux,1,317,уровень освещённости в помещении,main_recommended,UCI Occupancy
194,2015-02-03 08:03:00,405.0,occupied_room,room light level,Lux,1,318,уровень освещённости в помещении,main_recommended,UCI Occupancy
195,2015-02-03 08:08:00,419.0,occupied_room,room light level,Lux,1,320,уровень освещённости в помещении,main_recommended,UCI Occupancy
196,2015-02-03 08:17:00,419.0,occupied_room,room light level,Lux,1,323,уровень освещённости в помещении,main_recommended,UCI Occupancy
197,2015-02-03 08:25:00,422.5,occupied_room,room light level,Lux,1,325,уровень освещённости в помещении,main_recommended,UCI Occupancy
198,2015-02-03 08:26:59,433.0,occupied_room,room light level,Lux,1,326,уровень освещённости в помещении,main_recommended,UCI Occupancy
199,2015-02-03 08:36:00,433.0,occupied_room,room light level,Lux,1,328,уровень освещённости в помещении,main_recommended,UCI Occupancy
200,2015-02-03 08:38:59,440.0,occupied_room,room light level,Lux,1,329,уровень освещённости в помещении,main_recommended,UCI Occupancy
201,2015-02-03 08:45:59,442.5,occupied_room,room light level,Lux,1,331,уровень освещённости в помещении,main_recommended,UCI Occupancy
202,2015-02-03 08:51:59,429.0,occupied_room,room light level,Lux,1,333,уровень освещённости в помещении,main_recommended,UCI Occupancy
203,2015-02-03 08:55:00,429.0,occupied_room,room light level,Lux,1,334,уровень освещённости в помещении,main_recommended,UCI Occupancy
204,2015-02-03 09:02:00,444.0,occupied_room,room light level,Lux,1,336,уровень освещённости в помещении,main_recommended,UCI Occupancy
205,2015-02-03 09:04:00,444.0,occupied_room,room light level,Lux,1,337,уровень освещённости в помещении,main_recommended,UCI Occupancy
206,2015-02-03 09:10:00,444.0,empty_room,room light level,Lux,0,338,уровень освещённости в помещении,main_recommended,UCI Occupancy
207,2015-02-03 09:11:59,444.0,occupied_room,room light level,Lux,1,339,уровень освещённости в помещении,main_recommended,UCI Occupancy
208,2015-02-03 09:15:00,454.666666666667,occupied_room,room light level,Lux,1,340,уровень освещённости в помещении,main_recommended,UCI Occupancy
209,2015-02-03 09:19:00,451.6,occupied_room,room light level,Lux,1,341,уровень освещённости в помещении,main_recommended,UCI Occupancy
210,2015-02-03 09:23:00,460.0,occupied_room,room light level,Lux,1,342,уровень освещённости в помещении,main_recommended,UCI Occupancy
211,2015-02-03 09:27:00,439.0,occupied_room,room light level,Lux,1,344,уровень освещённости в помещении,main_recommended,UCI Occupancy
212,2015-02-03 09:30:59,454.0,occupied_room,room light level,Lux,1,345,уровень освещённости в помещении,main_recommended,UCI Occupancy
213,2015-02-03 09:40:00,463.0,occupied_room,room light level,Lux,1,347,уровень освещённости в помещении,main_recommended,UCI Occupancy
214,2015-02-03 09:43:59,469.0,occupied_room,room light level,Lux,1,349,уровень освещённости в помещении,main_recommended,UCI Occupancy
215,2015-02-03 09:49:59,462.333333333333,occupied_room,room light level,Lux,1,350,уровень освещённости в помещении,main_recommended,UCI Occupancy
216,2015-02-03 09:59:00,464.0,occupied_room,room light level,Lux,1,353,уровень освещённости в помещении,main_recommended,UCI Occupancy
217,2015-02-03 10:06:00,472.333333333333,occupied_room,room light level,Lux,1,355,уровень освещённости в помещении,main_recommended,UCI Occupancy
218,2015-02-03 10:11:00,474.0,occupied_room,room light level,Lux,1,357,уровень освещённости в помещении,main_recommended,UCI Occupancy
